event_id,timestamp,machine,event_type,feature_1,feature_2,feature_3,feature_4,feature_5,ip_address,user_id,process,label
EVT-00001,2025-04-13 12:00:00.000000,machine1,data_exfiltration,0.8116,0.9376,0.4807,1.0988,1.572,192.168.1.15,U1013,lsass.exe,malicious
EVT-00002,2025-04-13 12:00:11.459098,machine3,normal_activity,0.1233,0.2233,0.2942,0.3924,0.548,192.168.1.123,U1006,teamviewer.exe,benign
EVT-00003,2025-04-13 12:01:32.010817,machine4,suspicious_file_download,0.6995,0.9402,0.889,1.2229,0.9191,192.168.1.130,U1015,svchost.exe,malicious
EVT-00004,2025-04-13 12:02:30.953552,machine1,lateral_movement,0.6297,0.4677,1.1709,0.9405,1.3345,192.168.1.64,U1013,conhost.exe,malicious
EVT-00005,2025-04-13 12:02:48.231682,machine1,c2_connection,0.7219,0.8595,0.7641,0.9163,1.5846,192.168.1.133,U1008,node.exe,malicious
EVT-00006,2025-04-13 12:03:14.833180,machine1,privilege_escalation,0.7261,0.5527,0.6233,1.0362,1.6417,192.168.1.25,U1012,outlook.exe,malicious
EVT-00007,2025-04-13 12:03:59.824243,machine3,normal_activity,0.0179,0.2599,0.361,0.4413,0.5444,192.168.1.188,U1014,taskmgr.exe,benign
EVT-00008,2025-04-13 12:05:53.809566,machine1,normal_activity,0.0257,0.2644,0.2897,0.4634,0.3865,192.168.1.25,U1005,bash.exe,benign
EVT-00009,2025-04-13 12:06:15.308790,machine4,download_suspicious_domain,0.542,0.812,0.6695,1.0452,1.6457,192.168.1.64,U1006,mimikatz.exe,malicious
EVT-00010,2025-04-13 12:07:01.212681,machine5,normal_activity,-0.0025,0.244,0.3386,0.3163,0.444,192.168.1.244,U1001,mimikatz.exe,benign
EVT-00011,2025-04-13 12:07:22.463794,machine1,privilege_escalation,0.7215,0.7427,1.0345,1.2569,1.6196,192.168.1.192,U1005,node.exe,malicious
EVT-00012,2025-04-13 12:07:40.722905,machine3,normal_activity,0.1228,0.1376,0.3504,0.5085,0.4465,192.168.1.111,U1011,explorer.exe,benign
EVT-00013,2025-04-13 12:09:48.735437,machine1,failed_login_attempts,0.8781,0.7912,1.0047,1.3247,0.9971,192.168.1.200,U1019,spoolsv.exe,malicious
EVT-00014,2025-04-13 12:10:22.130419,machine1,failed_login_attempts,0.6789,0.7729,1.5432,0.9558,1.5422,192.168.1.244,U1009,mimikatz.exe,malicious
EVT-00015,2025-04-13 12:11:42.495935,machine4,data_exfiltration,1.0013,0.4583,0.9754,1.4612,1.5102,192.168.1.77,U1016,chrome.exe,malicious
EVT-00016,2025-04-13 12:12:00.658090,machine2,normal_activity,0.092,0.2445,0.3123,0.5289,0.4699,192.168.1.15,U1003,bash.exe,benign
EVT-00017,2025-04-13 12:12:11.820196,machine5,c2_connection,0.8163,0.8298,1.2794,1.0747,1.4859,192.168.1.150,U1020,java.exe,malicious
EVT-00018,2025-04-13 12:13:20.364665,machine3,download_suspicious_domain,1.0265,1.0472,1.2878,0.9336,1.5955,192.168.1.33,U1017,certutil.exe,malicious
EVT-00019,2025-04-13 12:14:45.411873,machine1,execution_suspicious_process,0.7717,0.7225,1.2139,0.7985,0.9339,192.168.1.25,U1012,cmd.exe,malicious
EVT-00020,2025-04-13 12:15:42.465060,machine2,failed_login_attempts,0.846,0.7619,1.0645,1.1705,1.0722,192.168.1.15,U1003,wmic.exe,malicious
