event_id,timestamp,machine,event_type,feature_1,feature_2,feature_3,feature_4,feature_5,ip_address,user_id,process,label
EVT-00001,2025-04-13 12:00:00.000000,machine1,data_exfiltration,0.7266,0.7384,-0.1083,0.7594,0.946,192.168.1.20,U1013,python.exe,malicious
EVT-00002,2025-04-13 12:00:11.459098,machine3,normal_activity,0.4288,0.5284,0.4184,0.4572,0.8116,192.168.1.13,U1006,whoami.exe,benign
EVT-00003,2025-04-13 12:01:32.010817,machine4,suspicious_file_download,0.5295,0.7131,0.5481,0.929,-0.0716,192.168.1.30,U1015,svchost.exe,malicious
EVT-00004,2025-04-13 12:02:30.953552,machine1,lateral_movement,0.449,-0.0086,0.9424,0.4923,0.5986,192.168.1.15,U1013,rundll32.exe,malicious
EVT-00005,2025-04-13 12:02:48.231682,machine1,c2_connection,0.5861,0.5747,0.333,0.4468,0.9615,192.168.1.23,U1008,netstat.exe,malicious
EVT-00006,2025-04-13 12:03:14.833180,machine1,privilege_escalation,0.5629,0.1356,0.1214,0.6238,1.0956,192.168.1.18,U1012,cmd.exe,malicious
EVT-00007,2025-04-13 12:03:59.824243,machine3,normal_activity,-0.1558,0.7334,0.797,0.7262,0.797,192.168.1.21,U1014,tasklist.exe,benign
EVT-00008,2025-04-13 12:05:53.809566,machine1,normal_activity,-0.1102,0.7606,0.3919,0.8478,-0.0782,192.168.1.18,U1005,regsvr32.exe,benign
EVT-00009,2025-04-13 12:06:15.308790,machine4,download_suspicious_domain,0.2882,0.521,0.1845,0.6558,1.0572,192.168.1.15,U1006,mimikatz.exe,malicious
EVT-00010,2025-04-13 12:07:01.212681,machine5,normal_activity,-0.266,0.6472,0.6677,0.0348,0.2395,192.168.1.22,U1001,mimikatz.exe,benign
EVT-00011,2025-04-13 12:07:22.463794,machine1,privilege_escalation,0.5859,0.4164,0.7652,0.9705,1.0634,192.168.1.17,U1005,netstat.exe,malicious
EVT-00012,2025-04-13 12:07:40.722905,machine3,normal_activity,0.4251,0.0541,0.7287,1.1059,0.254,192.168.1.11,U1011,explorer.exe,benign
EVT-00013,2025-04-13 12:09:48.735437,machine1,failed_login_attempts,0.813,0.4653,0.7154,1.0798,0.073,192.168.1.6,U1019,calc.exe,malicious
EVT-00014,2025-04-13 12:10:22.130419,machine1,failed_login_attempts,0.5036,0.4363,1.5476,0.5801,0.9078,192.168.1.22,U1009,mimikatz.exe,malicious
EVT-00015,2025-04-13 12:11:42.495935,machine4,data_exfiltration,1.0481,-0.0289,0.6828,1.3218,0.865,192.168.1.24,U1016,chrome.exe,malicious
EVT-00016,2025-04-13 12:12:00.658090,machine2,normal_activity,0.257,0.643,0.5184,1.215,0.3866,192.168.1.20,U1003,regsvr32.exe,benign
EVT-00017,2025-04-13 12:12:11.820196,machine5,c2_connection,0.7039,0.5452,1.1182,0.7074,0.8049,192.168.1.5,U1020,ssh.exe,malicious
EVT-00018,2025-04-13 12:13:20.364665,machine3,download_suspicious_domain,1.088,0.8771,1.1543,0.5177,1.001,192.168.1.9,U1017,certutil.exe,malicious
EVT-00019,2025-04-13 12:14:45.411873,machine1,execution_suspicious_process,0.6392,0.3489,1.0407,0.2622,-0.0473,192.168.1.18,U1012,msiexec.exe,malicious
EVT-00020,2025-04-13 12:15:42.465060,machine2,failed_login_attempts,0.7766,0.4312,0.8014,0.8596,0.218,192.168.1.20,U1003,wmic.exe,malicious
EVT-00021,2025-04-13 12:16:53.706157,machine1,exploit_cve,-0.0503,0.7314,0.2383,0.6576,0.7707,192.168.1.3,U1012,vssadmin.exe,malicious
EVT-00022,2025-04-13 12:17:54.837303,machine4,lateral_movement,0.3622,0.7788,0.8933,0.9114,1.2563,192.168.1.18,U1014,whoami.exe,malicious
EVT-00023,2025-04-13 12:19:00.354660,machine3,exploit_cve,0.2268,0.4632,0.2845,0.8971,0.6775,192.168.1.29,U1004,certutil.exe,malicious
EVT-00024,2025-04-13 12:21:15.635616,machine2,phishing_credential_stealer,0.8807,0.4332,0.4422,0.5585,0.4652,192.168.1.8,U1009,mimikatz.exe,malicious
EVT-00025,2025-04-13 12:24:05.043759,machine3,lateral_movement,0.3409,0.7487,0.2185,0.5417,0.9729,192.168.1.7,U1017,certutil.exe,malicious
EVT-00026,2025-04-13 12:24:44.785199,machine3,phishing_credential_stealer,0.5782,0.6944,0.2233,1.3516,0.2578,192.168.1.24,U1019,whoami.exe,malicious
EVT-00027,2025-04-13 12:24:50.229895,machine4,data_exfiltration,-0.1643,0.0678,0.2686,0.7353,1.5019,192.168.1.11,U1016,tasklist.exe,malicious
EVT-00028,2025-04-13 12:26:14.453953,machine1,suspicious_file_download,0.7977,1.445,0.6412,0.6314,0.4526,192.168.1.25,U1012,python.exe,malicious
EVT-00029,2025-04-13 12:27:05.225568,machine1,exploit_cve,0.3803,0.6669,0.6616,1.1963,0.7716,192.168.1.15,U1016,svchost.exe,malicious
EVT-00030,2025-04-13 12:29:31.653563,machine1,c2_connection,0.307,0.3286,1.284,0.7811,0.6838,192.168.1.24,U1014,ssh.exe,malicious
EVT-00031,2025-04-13 12:30:34.321966,machine2,privilege_escalation,0.4553,0.8877,0.4588,0.726,0.8864,192.168.1.20,U1011,explorer.exe,malicious
EVT-00032,2025-04-13 12:30:42.738143,machine2,c2_connection,0.5245,1.3224,0.7659,0.6964,0.4358,192.168.1.7,U1011,cmd.exe,malicious
EVT-00033,2025-04-13 12:31:45.690586,machine1,normal_activity,0.1268,0.7027,0.6865,0.8687,0.5899,192.168.1.11,U1015,msiexec.exe,benign
EVT-00034,2025-04-13 12:32:20.037269,machine2,privilege_escalation,0.781,0.7723,0.7383,-0.0074,1.3454,192.168.1.1,U1009,msiexec.exe,malicious
EVT-00035,2025-04-13 12:32:26.945437,machine2,data_exfiltration,1.075,0.7555,0.8525,0.4662,1.0138,192.168.1.8,U1001,nc.exe,malicious
EVT-00036,2025-04-13 12:32:43.376444,machine1,phishing_credential_stealer,0.3312,0.9451,0.7935,0.37,0.8486,192.168.1.15,U1004,rundll32.exe,malicious
EVT-00037,2025-04-13 12:36:11.938820,machine5,data_exfiltration,0.7501,0.6935,1.4392,1.0427,1.4018,192.168.1.10,U1007,powershell.exe,malicious
EVT-00038,2025-04-13 12:36:36.114456,machine3,normal_activity,1.1668,0.2646,0.6992,-0.17,0.6859,192.168.1.26,U1003,python.exe,benign
EVT-00039,2025-04-13 12:36:51.599908,machine2,normal_activity,0.8486,0.8278,0.2106,0.2452,0.437,192.168.1.17,U1001,certutil.exe,benign
EVT-00040,2025-04-13 12:37:18.246267,machine3,lateral_movement,0.1427,0.6855,0.8152,0.9073,1.0212,192.168.1.6,U1005,ftp.exe,malicious
EVT-00041,2025-04-13 12:39:22.287529,machine1,data_exfiltration,0.7525,1.3483,0.7674,1.5999,0.7832,192.168.1.11,U1007,notepad.exe,malicious
EVT-00042,2025-04-13 12:40:27.617700,machine4,normal_activity,-0.1914,0.1306,0.3011,0.3631,0.735,192.168.1.10,U1009,netstat.exe,benign
