event_id,timestamp,machine,event_type,feature_1,feature_2,feature_3,feature_4,feature_5,ip_address,user_id,process,label
EVT-00001,2025-04-13 12:00:00.000000,machine1,execution_suspicious_process,0.4565,0.6505,0.4162,0.4391,1.5451,192.168.1.105,U1012,sh.exe,malicious
EVT-00002,2025-04-13 12:01:01.563700,machine1,execution_suspicious_process,0.3102,1.3867,0.6131,0.387,0.4731,192.168.1.75,U1019,python.exe,malicious
EVT-00003,2025-04-13 12:02:13.269421,machine1,execution_suspicious_process,-0.2874,1.1842,0.6615,1.1868,1.2996,192.168.1.145,U1020,ssh.exe,malicious
EVT-00004,2025-04-13 12:02:47.705168,machine1,privilege_escalation,0.5866,0.4856,1.0195,1.0272,1.4697,192.168.1.50,U1011,explorer.exe,malicious
EVT-00005,2025-04-13 12:03:23.701545,machine1,execution_suspicious_process,0.8573,0.4912,1.1473,1.4205,1.3502,192.168.1.50,U1006,wmic.exe,malicious
EVT-00006,2025-04-13 12:03:47.573096,machine1,execution_suspicious_process,0.8732,0.6335,0.8329,0.9993,0.8015,192.168.1.1,U1010,wmic.exe,malicious
EVT-00007,2025-04-13 12:04:57.570243,machine1,phishing_credential_stealer,0.3926,0.566,0.748,0.1593,0.4358,192.168.1.140,U1019,powershell.exe -enc,malicious
EVT-00008,2025-04-13 12:05:21.944800,machine1,execution_suspicious_process,0.7506,0.5848,0.8631,0.607,0.5145,192.168.1.45,U1007,mimikatz.exe,malicious
EVT-00009,2025-04-13 12:06:19.434900,machine1,normal_activity,0.6967,1.375,0.7616,1.0362,1.0979,192.168.1.95,U1014,svchost.exe,benign
EVT-00010,2025-04-13 12:06:57.841591,machine1,execution_suspicious_process,0.0712,0.0504,0.1841,0.5885,0.9399,192.168.1.20,U1008,msiexec.exe,malicious
EVT-00011,2025-04-13 12:07:33.858454,machine1,privilege_escalation,0.9308,1.1834,0.0487,0.9377,0.9881,192.168.1.40,U1013,tasklist.exe,malicious
EVT-00012,2025-04-13 12:10:26.253807,machine1,lateral_movement,0.4521,0.5685,0.9576,0.5404,0.4485,192.168.1.145,U1008,telnet.exe,malicious
EVT-00013,2025-04-13 12:12:34.945029,machine1,exploit_cve,0.1135,0.6707,0.6171,0.6145,0.6825,192.168.1.20,U1016,svchost.exe,malicious
EVT-00014,2025-04-13 12:13:32.181912,machine1,normal_activity,0.0968,0.3296,0.3826,1.108,0.7441,192.168.1.85,U1003,cmd.exe,benign
EVT-00015,2025-04-13 12:14:43.756226,machine1,download_suspicious_domain,-0.0538,0.6624,0.3087,0.4739,0.9299,192.168.1.70,U1009,telnet.exe,malicious
EVT-00016,2025-04-13 12:14:52.634433,machine1,failed_login_attempts,0.3762,0.5885,1.0589,0.9035,0.8512,192.168.1.10,U1010,telnet.exe,malicious
EVT-00017,2025-04-13 12:15:20.444651,machine1,exploit_cve,0.693,0.8928,0.6914,-0.3361,0.4891,192.168.1.10,U1008,python.exe,malicious
EVT-00018,2025-04-13 12:16:38.606323,machine1,suspicious_file_download,0.2436,1.0676,1.0938,0.3902,0.7806,192.168.1.90,U1011,ssh.exe,malicious
EVT-00019,2025-04-13 12:17:39.986995,machine1,failed_login_attempts,0.4097,0.6804,0.514,0.6962,0.7404,192.168.1.125,U1016,sh.exe,malicious
EVT-00020,2025-04-13 12:17:54.189912,machine1,failed_login_attempts,-0.0006,0.0034,0.9507,0.4111,0.6229,192.168.1.25,U1010,chrome.exe,malicious
EVT-00021,2025-04-13 12:21:00.540521,machine1,phishing_credential_stealer,1.1825,-0.2158,0.9387,0.0817,1.2623,192.168.1.35,U1002,wmic.exe,malicious
EVT-00022,2025-04-13 12:21:02.843295,machine1,normal_activity,0.0822,0.4748,0.0782,0.2913,1.4848,192.168.1.95,U1007,whoami.exe,benign
EVT-00023,2025-04-13 12:22:09.645122,machine1,phishing_credential_stealer,-0.1219,0.9982,1.1791,0.245,1.1865,192.168.1.10,U1007,tasklist.exe,malicious
EVT-00024,2025-04-13 12:22:15.430779,machine1,phishing_credential_stealer,0.9982,0.136,1.1033,0.6825,0.6534,192.168.1.75,U1018,notepad.exe,malicious
EVT-00025,2025-04-13 12:24:42.868709,machine1,lateral_movement,0.6275,0.6037,0.4675,0.8709,0.0809,192.168.1.40,U1013,tasklist.exe,malicious
EVT-00026,2025-04-13 12:24:48.063460,machine1,exploit_cve,0.7502,0.2469,0.3961,0.9974,0.6973,192.168.1.45,U1002,tasklist.exe,malicious
EVT-00027,2025-04-13 12:26:21.163052,machine1,normal_activity,1.1052,0.4039,0.7338,0.4262,0.3413,192.168.1.10,U1006,curl.exe,benign
EVT-00028,2025-04-13 12:26:32.027568,machine1,execution_suspicious_process,0.4385,0.9707,0.5278,0.1877,1.5205,192.168.1.85,U1020,msiexec.exe,malicious
EVT-00029,2025-04-13 12:31:04.459426,machine1,exploit_cve,0.4606,1.5261,0.192,0.7473,1.9394,192.168.1.115,U1016,powershell_ise.exe,malicious
EVT-00030,2025-04-13 12:31:39.144603,machine1,exploit_cve,0.348,0.2801,0.8521,1.0294,0.8072,192.168.1.105,U1005,netstat.exe,malicious
EVT-00031,2025-04-13 12:32:49.601811,machine1,exploit_cve,0.4138,1.4124,0.5016,0.9543,0.1995,192.168.1.125,U1020,certutil.exe,malicious
EVT-00032,2025-04-13 12:33:48.365163,machine1,lateral_movement,0.9363,0.7007,0.6918,0.8844,0.6752,192.168.1.80,U1017,svchost.exe,malicious
EVT-00033,2025-04-13 12:34:28.558712,machine1,execution_suspicious_process,0.1133,1.34,1.0512,0.6778,1.1694,192.168.1.55,U1015,explorer.exe,malicious
EVT-00034,2025-04-13 12:35:55.080507,machine1,execution_suspicious_process,0.4952,0.8057,0.7742,0.8804,0.9189,192.168.1.135,U1015,wmic.exe,malicious
EVT-00035,2025-04-13 12:36:39.481272,machine1,normal_activity,-0.5707,0.6842,0.9336,0.9626,-0.0405,192.168.1.95,U1013,whoami.exe,benign
EVT-00036,2025-04-13 12:39:23.917434,machine1,privilege_escalation,-0.0902,1.5261,1.2828,0.7828,0.9916,192.168.1.130,U1009,explorer.exe,malicious
EVT-00037,2025-04-13 12:39:27.580189,machine1,phishing_credential_stealer,0.1485,0.5581,0.9018,0.7769,0.6538,192.168.1.10,U1008,notepad.exe,malicious
EVT-00038,2025-04-13 12:44:49.112117,machine1,failed_login_attempts,0.4397,0.5445,0.942,0.4752,0.7062,192.168.1.125,U1001,curl.exe,malicious
EVT-00039,2025-04-13 12:45:38.782550,machine1,execution_suspicious_process,0.0174,1.0803,0.1792,0.6315,0.2341,192.168.1.130,U1005,sc.exe,malicious
EVT-00040,2025-04-13 12:45:56.472907,machine1,failed_login_attempts,0.6431,0.5549,0.4807,0.7961,1.2847,192.168.1.90,U1006,notepad.exe,malicious
EVT-00041,2025-04-13 12:46:31.666663,machine1,phishing_credential_stealer,0.4309,0.6843,0.754,0.0847,0.7567,192.168.1.135,U1020,msiexec.exe,malicious
EVT-00042,2025-04-13 12:47:46.249655,machine1,execution_suspicious_process,-0.2384,0.3448,0.7598,0.7681,1.0022,192.168.1.85,U1005,certutil.exe,malicious
EVT-00043,2025-04-13 12:48:46.058668,machine1,normal_activity,0.4112,0.7646,0.7626,0.8832,0.5037,192.168.1.80,U1003,tasklist.exe,benign
EVT-00044,2025-04-13 12:50:51.309071,machine1,lateral_movement,0.1224,1.4831,1.3906,0.8878,1.6386,192.168.1.30,U1005,msiexec.exe,malicious
EVT-00045,2025-04-13 12:53:07.853363,machine1,suspicious_file_download,0.5661,0.6223,0.6989,0.8757,0.1279,192.168.1.60,U1016,chrome.exe,malicious
EVT-00046,2025-04-13 12:54:04.586168,machine1,phishing_credential_stealer,0.4556,0.8428,0.6911,0.3674,0.8814,192.168.1.135,U1018,whoami.exe,malicious
EVT-00047,2025-04-13 12:55:39.045124,machine1,normal_activity,-0.3005,0.2608,0.2334,0.2482,0.027,192.168.1.80,U1014,cmd.exe,benign
EVT-00048,2025-04-13 12:56:19.375667,machine1,data_exfiltration,0.4218,1.3839,0.6419,0.7784,0.8862,192.168.1.75,U1018,python.exe,malicious
EVT-00049,2025-04-13 12:56:26.276652,machine1,execution_suspicious_process,0.3627,0.6388,0.291,1.337,0.6236,192.168.1.130,U1015,sc.exe,malicious
EVT-00050,2025-04-13 12:56:58.909846,machine1,exploit_cve,0.2298,1.2367,0.8929,0.941,1.5211,192.168.1.40,U1002,nc.exe,malicious
EVT-00051,2025-04-13 12:57:16.550667,machine1,execution_suspicious_process,0.4169,1.0962,0.7441,1.0479,1.3304,192.168.1.1,U1010,curl.exe,malicious
EVT-00052,2025-04-13 12:59:14.862759,machine1,normal_activity,0.7211,-0.1888,0.8265,0.326,0.3053,192.168.1.145,U1008,netstat.exe,benign
EVT-00053,2025-04-13 12:59:28.596966,machine1,exploit_cve,0.6019,0.4257,1.1703,0.9544,0.5143,192.168.1.35,U1018,python.exe,malicious
EVT-00054,2025-04-13 13:00:45.042813,machine1,phishing_credential_stealer,1.2317,-0.0761,0.8597,1.0168,0.889,192.168.1.135,U1003,sc.exe,malicious
EVT-00055,2025-04-13 13:03:01.411614,machine1,normal_activity,0.4802,0.1051,0.2018,0.7723,0.4862,192.168.1.95,U1014,chrome.exe,benign
EVT-00056,2025-04-13 13:03:09.443236,machine1,normal_activity,0.2269,-0.1865,0.3115,0.3369,0.6689,192.168.1.10,U1004,rundll32.exe,benign
